customer_id,order_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,revenue_after_freight,margin_percentage
673c61d5732c61eb711c2826cc621e6c,b1b69f51bb6761e529b47d528ba4470e,delivered,2018-07-13T16:55:50.000Z,2018-07-17T04:31:56.000Z,2018-07-17T13:46:00.000Z,2018-08-02T23:43:44.000Z,2018-08-07T00:00:00.000Z,1,0e0487ef680ae92e064423238d1b4c05,179d859f51292aac5c10806a356f7af9,2018-07-23T04:31:56.000Z,22.0,37.06,d25665ea3b403d331df8f7c8bbe44755,77493,lagoa da confusao,TO,-15.060000000000002,-68.45454545454547
69eb26a67cff49ff2040a3817602061c,d8b57220afe3f1416bb889cc0e61aa67,delivered,2018-03-12T17:23:56.000Z,2018-03-12T17:35:56.000Z,2018-03-13T22:48:38.000Z,2018-04-06T23:51:04.000Z,2018-04-04T00:00:00.000Z,1,27fdfad2c6a8f91606eb41ea396785c6,8b321bb669392f5163d04c59e235e066,2018-03-16T17:35:56.000Z,13.2,18.23,d975a54519948041a4365850cb594836,79130,rio brilhante,MS,-5.030000000000001,-38.106060606060616
ca93eb799ba9cd57573661a4f896e2df,0a1e9a535a370a7613939cdf2196c089,delivered,2018-05-03T21:15:47.000Z,2018-05-04T02:51:44.000Z,2018-05-04T15:22:00.000Z,2018-05-10T19:03:32.000Z,2018-05-22T00:00:00.000Z,1,d2085f7e0f9533605386960fc7e987ec,aac29b1b99776be73c3049939652091d,2018-05-10T02:51:44.000Z,12.49,13.47,90055272cfcd6e5513388ee9d98e8da8,36512,tocantins,MG,-0.9800000000000004,-7.846277021617297
0e6a8b0d47f31247f623b6a5e2a95236,fcb5deccd553af305b15fb061d320647,delivered,2017-05-21T18:53:29.000Z,2017-05-21T19:05:16.000Z,2017-05-22T10:03:03.000Z,2017-05-31T10:22:54.000Z,2017-06-21T00:00:00.000Z,1,b65921838adc0239b7313971a9cb18de,128639473a139ac0f3e5f5ade55873a5,2017-05-25T19:05:16.000Z,18.9,25.63,c0c2dd9abc68c6aec1964614257ccd0e,29930,sao mateus,ES,-6.73,-35.608465608465615
02d683623fe8a7afb049181a823afefa,a5903a529b9519a24ef2252f50a19cbe,delivered,2018-06-02T10:26:07.000Z,2018-06-02T10:51:14.000Z,2018-06-05T08:08:00.000Z,2018-06-12T19:12:17.000Z,2018-07-12T00:00:00.000Z,1,300a6327ab13de0f4e0d3ec3270df6a3,0ed6ce5d87fd9c69eaacaeb778d67235,2018-06-11T10:51:14.000Z,14.99,15.23,651de09e1045c7dda126e0227f81e531,29157,cariacica,ES,-0.2400000000000002,-1.6010673782521696
2ec7666d1077597d4e4ff2116a319530,0571cdb407bf04b419c94ffd7acbd874,delivered,2017-01-19T21:24:05.000Z,2017-01-21T03:05:52.000Z,2017-01-23T11:41:56.000Z,2017-01-30T13:24:45.000Z,2017-03-03T00:00:00.000Z,1,91b08d34d0ba4db44da2dc382867ba49,b76dba6c951ab00dc4edf0a1aa88037e,2017-01-23T21:24:05.000Z,6.9,15.65,f171039a67a78b3d57475168802da70a,72720,brasilia,DF,-8.75,-126.81159420289853
a5d2b093ce49ccdc64bedb68b856ac5e,0f4f07de4a8aaaa5b16fef24f10b1d1d,delivered,2018-01-06T11:36:52.000Z,2018-01-06T11:48:30.000Z,2018-01-08T14:54:59.000Z,2018-01-19T14:33:09.000Z,2018-02-09T00:00:00.000Z,1,b99e4f4fa3f421e0ffbd512d9f152dec,128639473a139ac0f3e5f5ade55873a5,2018-01-11T11:48:30.000Z,19.9,25.63,66bcb5fd006123f74d979e37522b1b56,78455,lucas do rio verde,MT,-5.73,-28.79396984924624
b498a2691a3bd3fcc7107cbdf3d5633a,b2d30dfaf7114de8ab3f737d062032fe,delivered,2017-05-09T10:19:17.000Z,2017-05-10T02:50:18.000Z,2017-05-12T10:16:01.000Z,2017-05-24T15:04:42.000Z,2017-06-26T00:00:00.000Z,1,bdbcda578f0215903f8bcd77ca591e0c,db1f0f7c7e5e87f40b62226f020bb297,2017-05-30T02:50:18.000Z,5.95,34.15,c5b5d779a0a9bc39e2d353566b29ee12,48602,paulo afonso,BA,-28.2,-473.9495798319328
1a9f9ff94f0cc44bd356c8c8da8d3303,b39d5e5d31956b4598ed01674a0943e7,delivered,2018-08-04T00:47:11.000Z,2018-08-06T08:50:12.000Z,2018-08-13T09:24:00.000Z,2018-08-16T20:11:43.000Z,2018-09-05T00:00:00.000Z,1,500870614ddcf5bd84f7d26861026c8a,92eb0f42c21942b6552362b9b114707d,2018-08-20T08:50:12.000Z,11.87,18.23,e6b5ad3a28f39ba76606c8d81aa72b27,36420,ouro branco,MG,-6.360000000000001,-53.58045492839092
07f96b6867d9a170014744b286362436,601316c0f92a0da733702a7b89304189,delivered,2018-08-06T01:53:32.000Z,2018-08-06T02:05:10.000Z,2018-08-08T13:52:00.000Z,2018-08-13T15:48:36.000Z,2018-08-29T00:00:00.000Z,1,a16a8eed860c19b57d6326c7f6936d3e,596849622429351f47b32e6cae1055ff,2018-08-08T02:05:10.000Z,12.9,15.23,0fb8f35586a814c879899f53c98b442a,22451,rio de janeiro,RJ,-2.33,-18.06201550387597
